Month,area,regional,networksite,site_id,Availability (Ave),site_class,target (%),Achievement
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY302,99.98,Platinum,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY304,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY306,99.97,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY307,99.97,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY308,99.89,Platinum,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY312,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY313,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY314,99.97,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY315,99.68,Platinum,99.88,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY316,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY317,100.0,Platinum,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY318,99.75,Gold,99.88,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY319,99.99,Platinum,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY320,99.88,Bronze,99.63,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY321,99.99,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY322,100.0,Bronze,99.63,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY323,99.99,Bronze,99.63,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY324,99.83,Gold,99.88,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY325,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY327,99.33,Gold,99.88,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY328,99.99,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY329,99.81,Silver,99.82,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY330,100.0,Silver,99.82,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY331,100.0,Platinum,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY332,99.99,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY333,99.98,Bronze,99.63,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY334,100.0,Silver,99.82,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY335,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY337,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY340,99.97,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY343,100.0,Bronze,99.63,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY344,100.0,Platinum,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY347,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY348,99.89,Diamond,99.97,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY349,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY350,100.0,Bronze,99.63,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY351,100.0,Platinum,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY352,99.99,Platinum,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY354,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY355,99.99,Platinum,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY356,99.92,Platinum,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY357,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY358,100.0,Gold,99.88,Achieved
