Month,area,regional,networksite,Availability (Ave)
Jun-25,AREA1,REGIONAL10,NOP PEKANBARU,98.7724055944056
Jun-25,AREA1,REGIONAL2,NOP BENGKULU,99.03768082663606
Jun-25,AREA1,REGIONAL2,NOP JAMBI,98.82850734094616
Jun-25,AREA1,REGIONAL2,NOP LAMPUNG,99.66212571428572
Jun-25,AREA1,REGIONAL2,NOP MUARA ENIM,98.54587030716725
Jun-25,AREA1,REGIONAL2,NOP PALEMBANG,98.90345307917889
Jun-25,AREA1,REGIONAL2,NOP PANGKAL PINANG,99.64181818181818
Jun-25,AREA3,REGIONAL5,NOP MAGELANG,99.85699228791775
Jun-25,AREA3,REGIONAL5,NOP PEKALONGAN,99.73504895104895
Jun-25,AREA3,REGIONAL5,NOP PURWOKERTO,99.7480783817952
Jun-25,AREA3,REGIONAL5,NOP SEMARANG,99.76209866220736
Jun-25,AREA3,REGIONAL5,NOP SURAKARTA,99.82196136701336
Jun-25,AREA3,REGIONAL5,NOP YOGYAKARTA,99.8438560411311
Jun-25,AREA3,REGIONAL6,NOP JEMBER,99.83187802516942
Jun-25,AREA3,REGIONAL6,NOP KEDIRI,99.91998812351544
Jun-25,AREA3,REGIONAL6,NOP LAMONGAN,99.84203726708074
Jun-25,AREA3,REGIONAL6,NOP MADIUN,99.85682844243792
Jun-25,AREA3,REGIONAL6,NOP MALANG,99.89710441334769
Jun-25,AREA3,REGIONAL6,NOP SIDOARJO,99.8823241954708
Jun-25,AREA3,REGIONAL6,NOP SURABAYA,99.7186902800659
Jun-25,AREA3,REGIONAL7,NOP DENPASAR,99.84244897959184
Jun-25,AREA3,REGIONAL7,NOP FLORES,97.85086510263929
Jun-25,AREA3,REGIONAL7,NOP KUPANG,98.77397959183673
Jun-25,AREA3,REGIONAL7,NOP MATARAM,99.6500918196995
